Stock Number,Model Number,Additional Descriptions
1006834,R-H170,"This fully-horizontal hydraulic roll bender draws on the strength of a heavy steel frame to tackle extended production runs of difficult segments in large ODs.

*Requires 220-volt 3-phase power.
*3 variable-speed, driven rolls let you choose the right settings for a given part and material.
*Digital readout takes the hassle out of making repeatable parts.
*Movable operator podium allows you to control every function of the machine at once.
*Baileigh covers this angle roller with a 1-year parts warranty as well as lifetime technical support by phone.

Use this roll bender machine for: Structural applications, playgrounds, shipyard building, or any high-production, low-waste project.
Why choose the R-H170 over similar machines?

*We use the highest-grade steel to build this unit’s frame—unlike many other competing roll benders. Why settle for anything less than an upper-shaft diameter of just under 7.5”?
*Independently-controlled lateral roll guides and lower bending rolls come standard on a Baileigh machine, whereas other manufacturers might consider these features as upgrades.
*Intuitive controls and readouts make programming single-radius bends virtually effortless.
*We’ll collaborate with you to build a custom solution for your roll bending needs and applications.
*Baileigh’s team of knowledgeable team of reps will provide limitless project advice and machine troubleshooting by phone.

Questions about this horizontal bender? Want to request a full proposal? Talk to a Baileigh expert: 1-920-684-4990. Let our specialists engineer a solution to your specific application."
1006835,R-H45,"The R-H45 hydraulic ring roller won’t flinch while bending large radii out of tough materials. This tubing roller’s programmer controls also simplify production runs.

*Runs on 220-volt single-phase power and will work at just about any fabrication shop or job site.
*Bends up to 2” square x .120” wall tubing and 2” schedule 40 pipe, among other materials.
*All 3 rolls turn on industrial motor and transmission.
*Industrial-grade hydraulics power the top forming roll’s movement for seamless adjustment.
*Digital readout with programmable stop controls upward and downward roll position for easy repeatability.
*Siemens inverter drive enables soft start-ups to prolong motor life.
*Operator podium includes foot pedal, allowing you to stop and start the machine with ease.
*You can safely tip this pipe bender backward into a horizontal position when rolling larger diameters.
*Fully-welded steel plate frame adds strength to the machine and minimizes flex.
*Backed by a 1-year parts warranty and lifetime technical support by phone from our knowledgeable team.

Why choose the Hydraulic Roll Bender R-H45 over similar machines?

*Heavy steel construction ensures that the R-H45 will deliver accurate bends at maximum capacity for years.
*We use only the highest-quality components. For example, the Siemens brand inverter offers overload protection, keeps machinery from wearing out, and helps this pipe bender to last longer.
*Comes equipped with segment rolls, lateral roll guides for coiling, and an operator pendant—features that some other companies might count as upgrades.
*Accepts durable tooling options, made and stocked by Baileigh, to suit a variety of applications.
*Expert assistance and advice is always a phone call away! Baileigh’s experienced team of reps is on-call to troubleshoot as long as you’re using the R-H45.

Questions? Please give us a call at 1-920-684-4990."
1006836,R-H55," 
You can operate this programmable ring roller on its back for horizontal bending of large radii or in the vertical position for smaller diameters.
 

*This angle ring roller runs on 220-volt 3-phase power.
*Bend up to 4” round tubing with a .083 wall.
*3 rolls driven by 5 HP motor with direct-drive transmission.
*Industrial-grade hydraulic cylinder system lets you adjust the positioning of top forming roll with the programmable control station.
*Digital readout on top roll position makes each bend easily repeatable, key for those multiple-piece production runs.
*Built from heavy steel plate and mounted on a fully-welded steel housing to sustain machine’s strength.
*Baileigh covers this tube roller with 1-year parts warranty as well as lifetime technical support by phone.

 
Why choose the Angle Roller R-H55 over similar machines?
 

*You won’t find many tube rollers with rugged steel construction like the R-H55! The heavy framework adds to the tube roller’s durability and ensures that the machine won’t buckle or lose accuracy when bending at full capacity.
*We use only the highest-quality components on the market, like Siemens and machined steel shafts, to ensure that your investment will pay you back for years.
*Comes standard with a set of segment rolls and lateral roll guides for coiling—features that some other companies consider add-ons or upgrades.
*You can count on Baileigh’s knowledgeable and friendly team of reps for application help and advice—always just a phone call away.

 
Call us at 1-920-684-4990 with any questions you have about the R-H55 angle ring roller.
 "
1006840,R-H65,"This hydraulic roll bender offers the speed and strength of a double-pinch ring roller without the high cost of a CNC model.

*This pipe bender runs on 220-volt 3-phase power.
*Maximum capacity of 2” schedule 40 pipe.
*Double-pinch bending rolls with 1 fixed top roll and 2 bottom rolls operate on independently-controlled hydraulic cylinders.
*You can input bend patterns from the convenient programmable controller podium.
*Foot pedals let you run the roller forward or in reverse.
*Hydraulic encoders communicate the exact position of each roll.
*Digital readout helps you make elaborate, repeatable series of bends without difficulty.
*Rigid electro-welded heavy steel plate frame prevents flex at full capacity.
*Baileigh covers this hydraulic pipe bender with 1-year warranty and lifetime technical support by phone.

Why choose the Hydraulic Roll Bender R-H65 over similar machines?

*Few roll benders on the market can match the robust steel construction of the R-H65, which will maintain accuracy over many years of use.
*Double-pinch design allows for pre-bending and post-bending of material, saving production time and decreasing material waste.
*You can check the digital readout to deliver uniform, precise results for extended runs of complex parts.
*Comes standard with a set of segment rolls for bending many shapes and profiles.
If your application requires specialized tooling, we carry a range of easy-to-apply roll options and can make custom sets.
*With Baileigh’s after-sale support, you can call our team of experienced representatives anytime for troubleshooting or application advice.

Questions? Please give us a call at 1-920-684-4990 and talk to a Baileigh expert."
1006841,R-H85,"Losing too much money on scrap metal? Hone your shop’s efficiency and reduce waste with this fast and accurate double-pinch ring roller.

*Runs on 220-volt 3-phase power.
*Bends up to 4"" round tube, 3” schedule 40 pipe, and 3.375” x 3.375” x .25” angle iron.
*3 rolls driven by industrial-grade hydraulic transmission.
*Double-pinch design consists of 1 fixed top roll plus 2 bottom rolls moved by independent hydraulic cylinders.
*Hydraulic encoders communicate exact roll positioning to integrated digital readout programmers, making repeatability a cinch.
*You can control all machine movement of the machine from the podium-mounted operator panel with attached foot pedal.
*Hydraulic lateral guide rolls prevent the material from twisting and correct bend angles.
*We bolt and weld the heavy steel plate frame for structural strength so that it won’t flex even at full capacity.
*Baileigh covers this tubing roller with a 1-year parts warranty and lifetime technical support by phone.

Why choose the Hydraulic Roll Bender R-H85 over similar machines?

*Cut out those costly straight segments at the start and finish of bends with our double-pinch system, allowing you to pre- and post-bend the material.
*You won’t find many roll benders on the market that can match the robust steel construction of the R-H85.
*No more worrying about checking angles for repeat parts during production runs, thanks to the machine’s programmable stop.
*If you ever run into a problem with the R-H85 or want some advice on a project, you can call Baileigh’s team of knowledgeable reps anytime.

Questions? Please give us a call at 1-920-684-4990 and talk to a Baileigh expert."
1006852,R-M40,"This versatile metal ring roller makes a strong starter tube roll and ring roll machine for any fabricator looking to dive into profile bending.

*220-volt single-phase motor can run at almost any site in North America.
*2"" round tube and 1.5"" schedule 40 pipe maximum capacity.
*Ratchet-style manual top shaft allows you to adjust forming pressure.
*Variable-speed inverter drives and industrial-grade transmission provide delicate control over material.
*Executes bends in upright or horizontal positions, to accommodate a range of material lengths.
*Sturdy base opens into a storage cabinet for tooling and other options.
*Comes standard with a set of segment rolls that can be used for bending flat bar, solid rod, and some square applications.
*Manufactured from heavy steel plate to extend machine’s lifetime of use.
*Baileigh covers this tubing roller with a 1-year warranty and lifetime technical support by phone.

Use this metal ring roller for:  Coiling tubing, hay hoops, metal art, stair railings, and many other applications.
Why choose the R-M40 over similar ring roll machines?

*You won’t find many roll benders built to the same rugged standards as the R-M40. The steel plate construction of this tube roller maintains accuracy and minimizes flex.
*We stock a wide range of optional tooling for tubing and pipe, as well as other profiles.
*You can call Baileigh’s team of knowledgeable reps for troubleshooting and free project advice for as long as you’re using the R-M40 ring rolling machine.

Call us at 1-920-684-4990 with any questions you have about this metal ring roller for sale."
1006855,R-M55,"When we introduced the R-M55, it redefined quality in roll benders. This tube roller combines efficiency-boosting features with the rugged strength of a steel plate framework.

*Requires just 220 volts of single-phase power and will work in any fabrication shop or even out on job sites.
*Maximum capacity of 2.75"" round tubing and 2” schedule 40 pipe.
*Manual top-shaft machine with 2 driven rolls (3 rolls total).
*Large ratchet offers extra leverage for manual control of top roll position.
*You can operate the R-M55 in vertical mode, for small rolling projects, or in horizontal mode, for large rolling projects.
*Variable-speed inverter allows you to finetune the rolling speed for a given material.
*Easy-to-read scale indicates top roll position, helping you easily make repeatable bends for production runs.
*Includes segment rolls and lateral roll guides to keep material from twisting.
*Foot pedal controls let you conveniently stop and start the bender.
*Accepts optional rolls (available from Baileigh) to bend a variety of profiles like tubing, pipe, angle iron and much more.
*Baileigh backs this tubing roller with a 1-year warranty as well as lifetime technical support by phone.

Why choose the R-M55 over similar machines?

*Heavy steel construction gives the R-M55 a sturdiness, reliability, and long-wearing accuracy that few competing manual benders can match.
*Inverter protects against overload, prolonging the machine’s lifetime of use.
*You can rely on our team of reps—and their years of direct experience with Baileigh machines—for remote support for as long as you’re using the R-M55. Project advice is always just a phone call away.

Questions? Please give us a call at 1-920-684-4990 and talk to a Baileigh expert."
1006859,R-M55H," 
This hardworking ring roller adds an industrial-grade hydraulic system to the many tried-and-true features from our landmark R-M55.
 

*This ring roller bender runs on 220-volt single-phase power.
*Bends a maximum capacity of 2.75"" round tube and 2” schedule 40 pipe.
*Works with 3 rolls: 1 top forming roll and 2 driven bottom rolls.
*You can operate the R-M55H in 2 positions: vertical, for small rolling projects, and horizontal (on its back) for longer sections of material.
*Independent, easily-movable control pedestal lets you adjust the top roll’s positioning and program stops.
*Digital readout tells you the exact position of the top shaft to ensure simple repeatability for production runs.
*Direct gearbox drive system delivers mighty full torque even when bending at full capacity.
*Foot pedal control lets you conveniently switch between forward and reverse modes.
*Variable-speed inverter allows you to adjust the rolling speed to suit you material and project.
*Comes standard with roll sets that you can configure to suit many applications.
*Constructed from heavy steel plate to maintain accuracy and minimize flex.
*Baileigh covers this hydraulic roll bender with a 1-year parts warranty and lifetime technical support by phone.

 
Why choose the Profile Bender R-M55H over similar machines?
 

*Hydraulic system controls top forming roll, ensuring precision and reducing the time and effort necessary to produce repeatable radii.
*Rugged one piece framework adds to this roll bender’s strength and ensures that it will deliver accurate results when bending at maximum capacity—for years!
*Overload-protected Allen-Bradley inverter monitors rolling speed to extend the machine’s use as long as possible.
*Select an optional roll set to fit your application from Baileigh’s wider line of tooling, stocked for quick shipment.
*If you need troubleshooting or tips on a difficult project, you can call Baileigh’s team of experienced reps for as long as you’re using the R-M55H.

 
Questions? Please give us a call at 1-920-684-4990 and talk to a Baileigh expert.
 "
1013389,R-H250,"With a welded steel frame weighing 17 tons, this hydraulic roll bender can handle production runs in heavy-duty materials while maintaining accuracy.

*Runs on 220-volt 3-phase power.
*Double-pinch design with 3 driven rolls.
*Independently-adjustable left and right bending rolls minimize wasteful straight lengths at both the beginning and end of each part.
*Control all machine functions at once from the movable, easy-to-use podium.
*Digital readoutsfor every controlled element of the machine makes the programming of single radius bends virtually effortless.
*Baileigh backs this tubing bender with a 1-year parts warranty as well as lifetime technical support by phone.

Use this machine for: Structural applications, playgrounds, shipyard building, or any high-production, low-waste project.
Why choose the R-H250 over comparable machines?

*Heavy steel construction minimizes flex at full capacity. With an upper shaft diameter just under 7.5”, why settle for anything less? Few roll benders on the market can compete with that kind of structural strength!
*Independently-controlled hydraulic lateral guide rolls and lower bending rollsoffer a level flexibility you'll only find in a Baileigh Industrial machine.
*Internal memory and position recording will improve efficiency at any shop doing large bending, regardless of production numbers.
*We’ll work with you to engineer a “turnkey” package, ready for use and specific to your applications.
*You can count on Baileigh’s team of customer reps (all with experience using our machines) to provide remote assistance and free application advice for as long as you’re using the R-H250.

Questions? Want to request a quote? Give us a call at 1-920-684-4990. We’ll work with you to put together a formal proposal on our R-H250 that’s appropriate for your needs and applications."
1017780,R-H400,"Need to bend I-beams or massive pipe? The R-H400’s sophisticated digital controls and welded steel construction will produce accurate segments every time.

*Requires 220-volt 3-phase power.
*3 driven rolls moved by high-torque planetary gearbox joined with 3 independent hydraulic motors.
*LED digital readouts for both roll rotation and bending roll positioning let you easily monitor parts for repeatability.
*You can program all machine movement, controlled and recorded exactly, from the industrial-grade control panel.
*Horizontal position offers maximum stability for large I-beam bending jobs.
*Rigid, stress-relieved steel frame won’t flex under the resistance of the toughest materials during production runs.
*We cover this hydraulic roll bender with a 1-year parts warranty as well as lifetime technical support by phone.

Use this machine for: Large-scale architectural and structural applications.
Why choose the R-H400 over similar machines?

*Baileigh’s work on custom solutions for high-profile structural projects, like O’Hare International Airport’s beam skeleton, shows the trusted reliability and accuracy of our roll benders.
*Weighing a whopping 32 tons, this radius bender’s steel framework provides sheer strength necessary to tackle its full capacity, day in, day out, for years. Few benders on the market can match it.
*We include hydraulic lateral guide rolls as standard features. Many competing companies consider them upgrades.
*If you choose, we can outfit this roll bender withoptional CNC controls, capable of storing each axis position, to prevent operator error and simplify bend setups.
*You can call our team of reps, all with comprehensive experience using Baileigh machines, for expert application advice or troubleshooting anytime.

Questions? Want to request a quote? Give us a call at 1-920-684-4990. We’ll work with you to put together a formal proposal on our R-H400 that’s appropriate for your needs."
1021228,HSP-110M-HD-1.0," 
With a 1” plate steel framework and plenty of time-saving features, this hydraulic press sets the standard by which all other models should be measured.
 

*110-ton capacity.
*42.12” working width.
*8.66” diameter cylinder with 11.8” stroke.
*Runs on 220-volt 3-phase power.
*7.5 hp motor can push all 110 tons of force without strain.
*cylinder moves left or right within the framework so you can apply force for off-center projects.
*2-speed down movement (rapid or slow descent) with pressure regulator.
*6.3” chrome piston automatically returns to top position after the job is done.
*Welded steel construction maintains accuracy, holding up under the machine’s full force without flexing.
*Baileigh backs this hydraulic shop press with a 1-year parts warranty.
*Our experienced team of reps will also provide lifetime technical support by phone.

 
Recommended for: General assembly, straightening work, and pressing bearings in and out of their housings.
 
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1016542,WJ-512CNC,"The WJ-512CNC industrial water jet cutter from Baileigh Industrial is a great value for anyone looking to get into water jet cutting.  This great machine has the ability to cut just about any material with precision.  This includes glass, granite, ceramic, plastic, foam, mild steel, stainless steel,  titanium, aluminum, and copper in its 60” x 144” table.  The design is a cantilever design that allows for much easier material loading and unloading.  This design also offers smoother action on the axis with exclusion of moving parts.  All axis ride on precision balls screws with square slide ways.  All slide ways are covered and protected from water for long life.  The frame of the WJ-512CNC is laser cut and interlocked, then welded for strenght, rigidity, and accuracy.
Every WJ-512CNC industrial water jet cutter includes our own proprietary abrasive auto feed system that is coupled with a powerful 55,000psi Hamelmann direct drive pump.   This system is unique to the Baileigh Industrial line an offers a low maintenance approach to water jet cutting.
To control the WJ-512CNC industrial water jet table, Baileigh Industrial includes an easy to use windows based operator touchscreen.  This programmer supports any DXF file.
 
For more detailed information on the WJ-512CNC water jet click here.
 
To find out the operating cost of a Baileigh Industrial water jet click here.

Call us at 1-920-684-4990 with any questions you have about this water jet table for sale.

 
 Suggested Machine Layout

BobCAD-Cam Express Design Software (Included)

The WJ-512CNC comes standard with BobCAD-Cam Express programming software. You can design or plot out your project on any computer and load the plasma table via a USB drive.  To learn more or download a free trial, click the BobCAD-Cam logo above.
 For more information on the WJ-512CNC water jet from Baileigh Industrial contact a representative today."
1019138,WJ-85CNC,"The WJ-85CNC water jet from Baileigh Industrial offers excellent work table accessibility on a machine built for the rigors of waterjet cutting.  The cutting table and framework of the WJ-85CNC is laser cut and interlocked, then welded for strength and rigidity to ensure accuracy during the cutting process.  The design is a cantilever design that allows for much easier material loading and unloading.  This CNC water jet cutting machine also offers smoother action on the axis with exclusion of moving parts.  All axis ride on precision balls screws with square slide ways.  All slide ways are covered and protected from water for long life.
Because of the smooth action of the gantry, this water jet has the ability to cut just about any material with precision.  This includes glass, granite, ceramic, plastic, foam, mild steel, stainless steel, titanium, aluminum, and copper in its 60” x 96” table.  To help keep maintenance to a minimum, Every WJ-85CNC includes our own proprietary abrasive auto feed system that is coupled with a 55,000psi Hammelmann direct drive pump .  This system is unique to the Baileigh Industrial line and offers a low maintenance approach to water jet cutting.
Controlling the WJ-85CNC water jet Baileigh Industrial could not be easier.  The water jet saw includes an easy to use windows based stand alone operator console.  This programmer will support DXF.
 
For more detailed information on the WJ-85CNC water jet click here.
 
To find out the operating cost of a Baileigh Industrial water jet click here.
 
 Suggested Machine Layout

BobCAD-Cam V29 Express Design Software (Included)

The WJ-85CNC comes standard with BobCAD-Cam Express programming software. You can design or plot out your project on any computer and load the plasma table via a USB drive.  To learn more or download a free trial, click the BobCAD-Cam logo above.
 For more information on the WJ-85CNC water jet from Baileigh Industrial contact a representative today."
1019139,WJ-4x4CNC,"The WJ-4x4CNC water jet from Baileigh Industrial is a great value for anyone looking to get into water jet cutting.  This great machine has the ability to cut just about any material with precision.  This includes glass, granite, ceramic, plastic, foam, mild steel, stainless steel,  titanium, aluminum, and copper in its 48” x 48” table.  The design is a cantilever design that allows for much easier material loading and unloading.  This design also offers smoother action on the axis with exclusion of moving parts.  All axis ride on precision balls screws with square slide ways.  All slide ways are covered and protected from water for long life.  The frame of the WJ-4x4CNC is laser cut and interlocked, then welded for strenght, rigidity, and accuracy.
Every WJ-4x4CNC includes our own proprietary abrasive auto feed system that is coupled with a powerful 55,000psi Hammelmann direct drive pump .  This system is unique to the Baileigh Industrial line and offers a low maintenance approach to water jet cutting.
To control the WJ-4x4CNC water jet Baileigh Industrial includes an easy to use windows based operator touchscreen.  This programmer will support any DXF file.
 
For more detailed information on the WJ-4X4CNC water jet click here.
 
To find out the operating cost of a Baileigh Industrial water jet click here.
 
 Suggested Machine Layout
 
BobCAD-Cam Express Design Software (Included)

The WJ-4x4CNC comes standard with BobCAD-Cam Express programming software. You can design or plot out your project on any computer and load the plasma table via a USB drive.  To learn more or download a free trial, click the BobCAD-Cam logo above.
For more information on the WJ-4x4CNC water jet cutting machine, contact a representative today."
1011990A,HP-50H,"The HP-50H hydraulic punch sets a new standard in affordable plate punching. This heavy-duty plate punch machine covers most applications in the industry and offers  everything you need to punch various-sized holes. Just add hydraulic fluid, plug it in, and let the punching begin. High-quality and reliable, this hydraulic plate punch is ruggedly built to withstand years of use in a garage or a full fledged fabrication shop. Order this hydraulic punch for sale today! 

*Harnesses 50 tons of punching force.
*Includes .5 hp electric pump and hoses.
*Pump reaches a flow rate of up to 17 in3/min and will start under a full load.
*24-volt remote control enables you to operate the punch from a safe distance of up to 10 feet away.
*5 punch sets accommodate the following bolt sizes: 1/2”, 5/8”, 3/4”, 7/8”, and 1”.
*Double-acting cylinder design facilitates fast cycle times.
*Comes standard with a depth stop to help with repeatability, and a lifting bracket.
*Adjustable stripper prevents movement of the metal during stripping.
*Covered by a 1-year warranty and lifetime technical support by phone from our team of knowledgeable reps.

Hole Size vs. Material Punching Chart
Call us at 1-920-684-4990 with any questions you have about this hydraulic sheet metal punch."
1000260,AP-3R,"Our AP-3R arbor press harnesses a whopping 3 tons of force. A great value, this sheet metal-forming arbor press will offer decades of profitable duty at full capacity.

*3 ton arbor press has a 5” throat opening and can handle material up to 11” high.
*Solid, case-hardened square 1.5” ram executes precise presses every time.
*Ratchet leverage gives the operator fine control over pressure.
*Rapid-transfer flywheel allows you to lift or lower the ram quickly and fluidly.
*Flywheel also allows for small, delicate motions, so that you can set up the item to be pressed before lowering the ram.
*Slideaway allows for adjustment of tension and gap.
*Machined 4-position die plate, perpendicular to the ram, lets you precisely secure the workpiece.
*Bottom die plate includes the proper openings for most broaches to push through.
*Rigid cast iron frame avoids flex and maintains accuracy.
*You can easily mount the press to a bench or pedestal.
*We typically keep this industrial arbor press in stock for fast shipments..
*3 ton arbor press comes with a 1-year warranty, backed by Baileigh.
*Our knowledgeable representatives will provide unlimited technical support.

Questions about this 3 ton ratcheting arbor press? Feel free to give us a call at (920) 684-4990 and talk to a Baileigh expert."
1000264,AP-5,"We engineered the AP-5 arbor press to produce up to 5.6 tons of force and last for decades. A machined cast iron housing framework gives this manual sheet metal-forming press its “muscle” and increases its durability.

*Has a throat depth of 8.89” and accepts material up to 17.5” high.
*Thick 2” x 2” case-hardened ram transfers pressure without flex for maximum accuracy.
*Adjustable ram cap allows for gap adjustment of ram.
*31” adjustable, single-leverage handle multiplies your force to produce strain-free pressure.
*Sturdy 2.375"" pivot shaft supports smooth, powerful ram movement.
*Includes a durable 4-position bottom die plate to secure various broach sizes.
*You can remove the bottom plate to press items directly on the AP-5’s framework.
*Can be pedestal- or bench-mounted.
*Typically kept in stock for immediate shipment.
*The AP-5 is covered by a 1-year warranty and lifetime technical support.

Recommended for: Pressing bearings and bushings or broaching keyways in any fabrication or machine shop.
Questions? Feel free to give us a call at (920) 684-4990 and talk to a Baileigh expert."
1000383,BB-2416E," 
Unlike most other entry-level box and pan brakes on the market, this small metal brake offers the strength of a steel plate framework for long-wearing accuracy.
 

*24” long (2 feet) upper beam and apron.
*16 gauge mild steel maximum capacity.
*This metal box brake bends up to 135°.
*Includes 5 fingers of varying lengths
*Constructed from fully-welded steel plate to minimize flex and support bending at full capacity.
*Comes standard with a counterweight apron lift assist to reduce operator effort.
*Baileigh covers this sheet metal finger brake with a 1-year parts warranty and lifetime technical support by phone.
*Typically kept in stock for quick shipping.

 
Recommended for: Hobbyists, educational institutions, or any fabrication shops that need a sheet metal brake for small runs of small items.
 
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1000386,BB-3616E," 
Built to the highest standards with a plate steel framework, this small box brake offers delicate control over your application.
 

*36” box brake has a maximum capacity of 16 gauge mild steel.
*Bends up to 135°.
*Includes an assortment of 6 fingers to make various depths and sizes of boxes and pans.
*Rugged plate steel construction and electro-welded framework ensure crisp bend angles even in the middle of the beam at full capacity.
*Heavy counterweight to assist in lifting the apron—especially handy when bending at full capacity.
*Finger gap adjustment on the right and left of the bend brake allows for different gauges of material.
*Baileigh covers this sheet metal finger brake with a 1-year parts warranty and lifetime technical support by phone.
*Typically kept in stock for quick shipments.

 
Recommended for: Projects involving short pieces of material that larger metal brakes can’t easily handle.
 
Call us at 1-920-684-4990 with any questions you have about this sheet metal finger brake for sale.
 "
1000399,BB-4012F," 
The BB-4012F Baileigh box and pan brake frees up your hands to position the material by letting you clamp the sheet metal with a convenient foot control.
 

*This Baileigh sheet metal brake bends up to 12 gauge mild steel across its full 40” length.
*Stop rod lets you make repeatable bends with ease for production runs.
*Hardened bending die ensures years of high-quality results.
*Simple blade gap adjustment helps you correctly bend various gauges of sheet metal.
*Spring-loaded cylinder assists in lifting the apron, especially helpful when you’re bending at full capacity.
*Foot-controlled clamp leaves your hands free to position the sheet metal before clamping in place.
*Comes standard with hardened fingers in an assortment of widths to create many sizes of tanks, pans, boxes, and more.
*Built from the best possible components with a full-welded heavy steel framework to minimize flex and deformation.
*Baileigh backs this sheet metal brake with a 1-year parts warranty.
*You can count on lifetime technical support by phone from our team of reps, all of whom have hands-on experience with Baileigh machines.
*Our 12 gauge box and pan brake is usually in stock for quick shipping.

 
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert. Also check out our 14 gauge sheet metal brake."
1000417,BB-4814,"With its heavy steel construction, this 4-foot box and pan brake offers a great value for any shop.

*Maximum capacity of 14 gauge mild steel across its entire 48” length.
*Bends up to 135°.
*2 heavy counterweights save time and energy for the operator with each lift and drop.
*Includes 9 hardened fingers to make many different sizes of boxes and pans, with a maximum box depth of 4”.
*Comes with an integrated floor stand, reinforced and positioned for optimum balance.
*Fully-welded steel framework prevents deformation and maintains accuracy when bending at full capacity.
*Offers a more affordable alternative to our 12-gauge line of metal brakes.
*Baileigh covers this sheet metal finger brake with a 1-year parts warranty.
*Our team of knowledgeable customer service reps—all of whom have hands-on experience with our machines—will provide lifetime technical support by phone.
*Typically kept in stock for quick shipments.

Call us at 1-920-684-4990 with any questions you have about this heavy duty 4-ft box and pan brake."
1000475,BB-4816E," 
With a fully-welded steel plate framework, this sheet metal box brake offers budget-friendly durability that you won’t get from many competing metal brakes.
 

*Maximum capacity of 16 gauge mild steel.
*Bends up to 135° across the brakes entire 48” (4-foot) length even at full capacity.
*Includes 16 hardened fingers of varying lengths to make many sizes of boxes and pans.
*Counterweight apron lift assist reduces your effort when bending at full capacity.
*Finger setback adjustment  lets you adjust for the thickness of the material.
*Comes standard with sturdy floor stand.
*Baileigh backs this metal brake with a 1-year parts warranty and lifetime technical support by phone.
*Typically kept in stock for quick shipments.

 
Recommended for: Hobbyists, light sheet metal fabricators, or educational institutions.
 
Call us at 1-920-684-4990 with any questions you have about this sheet metal brake for sale."
1000490,BB-4816M," 
This sheet metal brake can bend boxes or pans to almost any depth since it doesn’t rely on conventional finger depths.
 

*Runs on 220-volt single-phase power and will work at virtually any site.
*48” (4-foot) length with a maximum capacity of 16 gauge mild steel.
*The breakthrough open-ended design allows you to create enclosed ducts and shapes impossible to make with a traditional box and pan brake.
*6-ton magnetic power is consistent across the entire beam, allowing for crisp bends even in the middle of the brake.
*Scaled stroke angle control lets you deliver repeatable bends time after time.
*You can set up the mild steel clamping bar with straight bars (of various widths if you had very tight boxes to make) for straight bends or segmented clamping bars for box and pan applications.
*Blade gap adjustment on the clamping bars lets you work with sheet metal of different thicknesses.
*You can remove the bottom leaf's bending extension for the tightest bend dimension between bends of .625”.
*Comes with product supports and adjustable back gauges for production runs.
*Baileigh covers this box brake with a 1-year parts warranty as well as lifetime technical support by phone.
*Typically kept in stock for quick shipments.

 
Easy, hands-free operation:
 

*Put a piece of material between the clamping bar to the depth required.
*Engage the powerful magnet in the bending bed with push button control.
*Hit the foot pedal that softly clamps the material. This foot control keeps your fingers safely out of the machine and you to reposition the material.
*Lift the the bottom bending leaf to complete the bend.

 
Recommended for:
 

*HVAC shops, industrial art shops, and general sheet metal fabrication shops.
*Making enclosed boxes, triangles, alternate bends on varying planes, and round items such as scrolling applications.
*Bending a variety of materials, including sheets of mild steel, stainless steel, aluminum, coated materials, heated plastics, and more.

 
*****IMPORTANT INFORMATION!*******
To achieve proper performance and prevent damage to the machine, the power supplied must be 220VAC +/-5% (209VAC to 231VAC).  Failure to comply will damage the machine and void the warranty.  Questions on this please call Baileigh Industrial 920-684-4990 before purchasing.
 
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1000529,BB-5014F,"This box brake brake lets you clamp sheet metal with a foot pedal, so both hands are free to position the material.

*Bends a maximum capacity of 14 gauge mild steel across the brake’s full 50” length.
*Adjustable stop rod makes it easy to produce repeatable bends.
*Knobs at each end of the brake let you finetune the clamping pressure to fit your application.
*Includes 12 fingers of varying widths that you can easily rearrange to create different sizes of tanks, pans, boxes and more.
*Spring-loaded cylinder assists in lifting the apron, which you’ll find particularly useful when bending at full capacity.
*Blade gap adjustment enables you to take on various gauges of sheet metal.
*Made with a fully-welded steel framework to maintain accuracy and reduce deformation.
*Baileigh covers this sheet metal finger brake with a 1-year parts warranty plus lifetime technical support by phone. Troubleshooting and project advice is always just a call away.
*Our 14 gauge sheet metal brake is almost always in stock for quick shipments.

Questions about this 12 finger brake? Call us at 1-920-684-4990 and talk to a Baileigh expert."
